BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t2645,11133.918578141222,4509.289607502582,-4083.9369956438045,0.0,0.0,0.0,0.0,0.0,0.0,-11559.27119
t2646,11300.11484163632,4750.207485754815,-3843.019117391136,0.0,0.0,0.0,0.0,0.0,0.0,-12207.30321
t2647,11557.05245494095,5147.80008410233,-3445.4265190432766,0.0,0.0,0.0,0.0,0.0,0.0,-13259.42602
t2648,16201.050314815378,2717.758139164771,-5875.468463980144,0.0,0.0,0.0,0.0,0.0,0.0,-13043.33999
t2649,19630.921063432612,377.88815485454006,-8215.338448287155,0.0,0.0,0.0,0.0,0.0,0.0,-11793.47077
t2650,18816.493761378773,454.4967358821003,-8138.729867260874,0.0,0.0,0.0,0.0,0.0,0.0,-11132.26063
t2651,19125.928137357198,480.7612878923512,-8112.465315249556,0.0,0.0,0.0,0.0,0.0,0.0,-11494.22411
t2652,18734.43978603886,517.9623985514652,-8075.264204590325,0.0,0.0,0.0,0.0,0.0,0.0,-11177.13798
t2653,19036.45420942909,526.4599618564541,-8066.76664128554,0.0,0.0,0.0,0.0,0.0,0.0,-11496.14753
t2654,19555.682187283714,514.2290079292916,-8078.9975952130035,0.0,0.0,0.0,0.0,0.0,0.0,-11990.9136
t2655,20318.493583275562,495.3050899335476,-8097.921513209102,0.0,0.0,0.0,0.0,0.0,0.0,-12715.87716
t2656,21413.780825833237,409.91087865398913,-8183.315724487225,0.0,0.0,0.0,0.0,0.0,0.0,-13640.37598
t2657,20236.09370560225,1554.8394537706156,-7038.3871493728675,0.0,0.0,0.0,0.0,0.0,0.0,-14752.54601
t2658,14207.194313105278,4977.445970020049,-3615.780633125326,0.0,0.0,0.0,0.0,0.0,0.0,-15568.85965
t2659,13066.69839593173,5716.9510136063545,-2876.2755895380865,0.0,0.0,0.0,0.0,0.0,0.0,-15907.37382
t2660,12689.983287795601,5533.159657674732,-3060.066945470335,0.0,0.0,0.0,0.0,0.0,0.0,-15163.076
t2661,12458.394168188739,5520.313002477969,-3072.9136006667068,0.0,0.0,0.0,0.0,0.0,0.0,-14905.79357
t2662,12601.37191311492,5005.984380015502,-3587.242223130423,0.0,0.0,0.0,0.0,0.0,0.0,-14020.11407
t2663,12654.346305884143,4714.751058631107,-3878.475544515245,0.0,0.0,0.0,0.0,0.0,0.0,-13490.62182
t2664,12222.469809138522,4546.709277004026,-4046.5173261425466,0.0,0.0,0.0,0.0,0.0,0.0,-12722.66176
t2665,11143.71581874398,4674.672227201247,-3918.554375945227,0.0,0.0,0.0,0.0,0.0,0.0,-11899.83367
t2666,10718.276779222695,4685.377741961651,-3907.848861184346,0.0,0.0,0.0,0.0,0.0,0.0,-11495.80566
t2667,10662.836929121851,4594.689432012169,-3998.5371711340194,0.0,0.0,0.0,0.0,0.0,0.0,-11258.98919
t2668,10966.395675151558,4443.2953389973445,-4149.9312641489005,0.0,0.0,0.0,0.0,0.0,0.0,-11259.75975
t2669,11324.575004022568,4386.7606645618525,-4206.465938584418,0.0,0.0,0.0,0.0,0.0,0.0,-11504.86973
t2670,11680.745164445723,4556.082169350253,-4037.1444337959756,0.0,0.0,0.0,0.0,0.0,0.0,-12199.6829
t2671,11996.986800391855,4917.9513813767635,-3675.2752217686198,0.0,0.0,0.0,0.0,0.0,0.0,-13239.66296
