BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t27,6497.020391837913,4999.540320906297,-0.0008527442087535256,0.0,0.0,0.0,0.0,0.0,0.0,-11496.55986
t28,6787.390000572792,4663.649422077956,-0.000852650748557258,0.0,0.0,0.0,0.0,0.0,0.0,-11451.03857
t29,6787.390000039794,4575.053632543463,-0.0008525832579932177,0.0,0.0,0.0,0.0,0.0,0.0,-11362.44278
t30,7059.50115854687,4219.594233895672,-0.0008524425410529312,0.0,0.0,0.0,0.0,0.0,0.0,-11279.09454
t31,9740.943496524535,962.7192582133482,-0.0006447378839946909,0.0,0.0,0.0,0.0,0.0,0.0,-10703.66211
t32,14783.976114245552,0.0010802515001718024,-4764.265554497053,0.0,0.0,0.0,0.0,0.0,0.0,-10019.71164
t33,18171.97815090886,0.00019218804572729964,-8504.476904096902,0.0,0.0,0.0,0.0,0.0,0.0,-9667.501439
t34,17694.504618451454,256.747316872188,-8247.733905323643,0.0,0.0,0.0,0.0,0.0,0.0,-9703.51803
t35,18033.32919719464,307.85329719690515,-8196.627924391543,0.0,0.0,0.0,0.0,0.0,0.0,-10144.55457
t36,18625.737220053757,307.79556963517837,-8196.685649688932,0.0,0.0,0.0,0.0,0.0,0.0,-10736.84714
t37,18717.410261039444,320.19263423861435,-8184.28858527806,0.0,0.0,0.0,0.0,0.0,0.0,-10853.31431
t38,18148.17273038436,294.83190937279943,-8209.649309757166,0.0,0.0,0.0,0.0,0.0,0.0,-10233.35533
t39,19856.42928587962,265.6226928712245,-8238.85852875085,0.0,0.0,0.0,0.0,0.0,0.0,-11883.19345
t40,20236.736172909696,392.65963106806606,-8111.821593977757,0.0,0.0,0.0,0.0,0.0,0.0,-12517.57421
t41,17121.597077503146,0.0016922644860163662,-3660.7077697676314,0.0,0.0,0.0,0.0,0.0,0.0,-13460.891
t42,13702.190967996261,1063.3045044255787,-0.0008524218388321554,0.0,0.0,0.0,0.0,0.0,0.0,-14765.49462
t43,11209.749052074672,4294.173190574388,-0.0008526490613663234,0.0,0.0,0.0,0.0,0.0,0.0,-15503.92139
t44,9709.234188866947,6029.98631383086,-0.000852697809911075,0.0,0.0,0.0,0.0,0.0,0.0,-15739.21965
t45,9709.234189460389,5497.315913109035,-0.0008525694235008945,0.0,0.0,0.0,0.0,0.0,0.0,-15206.54925
t46,9763.678491074803,4587.054731797434,-0.0008528722358427654,0.0,0.0,0.0,0.0,0.0,0.0,-14350.73237
t47,9164.791172956313,4745.959469815911,-0.0008527722264398376,0.0,0.0,0.0,0.0,0.0,0.0,-13910.74979
t48,8003.312737665774,5062.8099650476315,-0.0008527134053092089,0.0,0.0,0.0,0.0,0.0,0.0,-13066.12185
t49,7604.05452552945,4712.1304470652385,-0.0008525946898932632,0.0,0.0,0.0,0.0,0.0,0.0,-12316.18412
t50,7277.388715663202,4668.561356786312,-0.0008524495122038201,0.0,0.0,0.0,0.0,0.0,0.0,-11945.94922
t51,6660.353296740853,5002.374276154032,-0.0008528948841991868,0.0,0.0,0.0,0.0,0.0,0.0,-11662.72672
t52,6732.94569891076,4827.429363848632,-0.0008527593932180189,0.0,0.0,0.0,0.0,0.0,0.0,-11560.37421
t53,6950.722905003135,4677.964227698897,-0.0008527020325584457,0.0,0.0,0.0,0.0,0.0,0.0,-11628.68628
t54,6301.095783841351,5313.314898860125,-0.0008527014730643439,0.0,0.0,0.0,0.0,0.0,0.0,-11614.40983
t55,10601.533919691448,626.469016055554,-0.0006857470023999757,0.0,0.0,0.0,0.0,0.0,0.0,-11228.00225
t56,16814.711090859375,0.0013677877975432065,-6222.707468647177,0.0,0.0,0.0,0.0,0.0,0.0,-10592.00499
t57,18473.279447051376,0.0001941262747956659,-8504.476909177647,0.0,0.0,0.0,0.0,0.0,0.0,-9968.802732
t58,17741.615012360762,178.69494096450433,-8325.786279325264,0.0,0.0,0.0,0.0,0.0,0.0,-9594.523674
t59,18159.83090664585,202.04419601399667,-8302.437022659848,0.0,0.0,0.0,0.0,0.0,0.0,-10059.43808
t60,18817.153574070722,215.49079275278234,-8288.990426823508,0.0,0.0,0.0,0.0,0.0,0.0,-10743.65394
t61,19862.448371148417,185.34182928143423,-8319.13939042985,0.0,0.0,0.0,0.0,0.0,0.0,-11728.65081
t62,20546.969294315462,167.75633421417447,-8336.724888529636,0.0,0.0,0.0,0.0,0.0,0.0,-12378.00074
t63,19020.267410957287,0.003074789330933458,-6652.502185746617,0.0,0.0,0.0,0.0,0.0,0.0,-12367.7683
t64,16832.74894286821,0.001492427530521076,-3738.1082952957413,0.0,0.0,0.0,0.0,0.0,0.0,-13094.64214
t65,15013.969874453498,0.001087519759050304,-707.8389319732581,0.0,0.0,0.0,0.0,0.0,0.0,-14306.13203
t66,13579.079403173366,2131.8001694390323,-0.0008526124019245151,0.0,0.0,0.0,0.0,0.0,0.0,-15710.87872
t67,12029.302285276972,4616.926217465605,-0.0008527425749522617,0.0,0.0,0.0,0.0,0.0,0.0,-16646.22765
